,Player_Name,Rank,Kills,Deaths,Assists,Kill death difference,Kill death ratio,Average damage per round,Percentage of kills with a headshot,First kills of a round,First deaths of a round,First kills as a T,First deaths as a T,First kills as a CT,First deaths as a CT,Trade kills,Death was traded,Traded first kills,First deaths traded,Traded first kills as T,First deaths traded as T,Traded first kills as CT,First deaths traded as CT,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,2k,1k,"Percentage of rounds with a Kill, Assist, Survived or Death Traded",HLTV Rating 1.0,Top Starting Side,Round Winner,Match_id,map,date,VAC,Starting_Side,CT_round_diff,T_round_diff,Match_Result
2,Blhoux,,16,10,3,6,1.6,77,19%,2,2,1,2,1,0,4,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,3,10,90%,1.16,T,"['T', 'T', 'T', 'T', 'T', 'T', 'T', 'CT', 'T', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",7289927,de_mirage,13th Mar 2020 10:07:46,True,T,5.0,7.0,Win
15,Blhoux,,27,10,3,17,2.7,122,15%,2,4,1,3,1,1,4,4,0,3,0,2,0,1,0,0,0,1,0,1,0,1,6,7,86%,1.97,T,"['CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT']",7631956,de_inferno,22nd Mar 2020 09:43:32,False,CT,9.0,1.0,Win
18,Cho,,11,13,6,-2,0.8,71,27%,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,77%,0.83,T,"['CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT']",7631956,de_inferno,22nd Mar 2020 09:43:32,False,CT,9.0,1.0,Win
19,KoHo,,13,15,5,-2,0.9,67,15%,1,3,1,0,0,3,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,9,68%,0.81,T,"['CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'CT', 'CT', 'CT']",7631956,de_inferno,22nd Mar 2020 09:43:32,False,CT,9.0,1.0,Win
20,Blhoux,,23,17,4,6,1.4,93,17%,6,1,4,1,2,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,13,75%,1.19,T,"['CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT']",23125761,de_dust2,2nd Jan 2021 20:20:55,False,T,-3.0,-1.0,Loss
21,KoHo,,19,18,7,1,1.1,84,47%,1,3,0,3,1,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,7,75%,1.05,T,"['CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT']",23125761,de_dust2,2nd Jan 2021 20:20:55,False,T,-3.0,-1.0,Loss
22,Cho,,20,21,4,-1,1.0,78,25%,4,3,1,2,3,1,5,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,6,5,64%,0.99,T,"['CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT']",23125761,de_dust2,2nd Jan 2021 20:20:55,False,T,-3.0,-1.0,Loss
24,mini,,12,19,1,-7,0.6,55,50%,1,4,1,2,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,4,50%,0.79,T,"['CT', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'T', 'T', 'T', 'CT', 'CT']",23125761,de_dust2,2nd Jan 2021 20:20:55,False,T,-3.0,-1.0,Loss
30,KoHo,,29,17,4,12,1.7,97,24%,3,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,14,79%,1.43,T,"['CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT']",6314830,de_dust2,30th Jan 2020 20:05:24,False,T,0.0,-3.0,Loss
31,Blhoux,,28,21,4,7,1.3,93,32%,5,4,2,4,3,0,3,4,1,1,0,1,1,0,0,0,0,0,0,0,0,1,8,9,79%,1.25,T,"['CT', 'CT', 'CT', 'T', 'CT', 'T', 'CT', 'CT', 'T', 'T', 'T', 'T', 'CT', 'CT', 'CT', 'T', 'T', 'CT', 'T', 'T', 'CT', 'CT', 'CT', 'CT', 'T', 'T', 'T', 'CT', 'CT']",6314830,de_dust2,30th Jan 2020 20:05:24,False,T,0.0,-3.0,Loss
